"","file_name","number_of_clusers_with_p_less_than_0.05","lowest_p_value"
"306","perm_373_Summary.of.stats_Random.Group.Allocation.csv",31,1.44387709109525e-05
"307","perm_374_Summary.of.stats_Random.Group.Allocation.csv",25,0.000302994624861994
"308","perm_375_Summary.of.stats_Random.Group.Allocation.csv",29,0.00111870629509142
"309","perm_376_Summary.of.stats_Random.Group.Allocation.csv",27,0.000477796581228865
"310","perm_377_Summary.of.stats_Random.Group.Allocation.csv",22,0.00181096089106592
"311","perm_378_Summary.of.stats_Random.Group.Allocation.csv",10,0.00019186935481618
"312","perm_379_Summary.of.stats_Random.Group.Allocation.csv",15,0.0012504809653194
"313","perm_38_Summary.of.stats_Random.Group.Allocation.csv",24,0.00266110759483741
"314","perm_380_Summary.of.stats_Random.Group.Allocation.csv",20,0.00242982826617682
"315","perm_381_Summary.of.stats_Random.Group.Allocation.csv",14,0.000216304592172625
"316","perm_382_Summary.of.stats_Random.Group.Allocation.csv",34,3.92511937600693e-07
"317","perm_383_Summary.of.stats_Random.Group.Allocation.csv",29,0.000210928715509694
"318","perm_384_Summary.of.stats_Random.Group.Allocation.csv",21,0.000903781440967043
"319","perm_385_Summary.of.stats_Random.Group.Allocation.csv",10,0.00342734557361493
"320","perm_386_Summary.of.stats_Random.Group.Allocation.csv",18,0.000230126756500728
"321","perm_387_Summary.of.stats_Random.Group.Allocation.csv",23,0.000213145084371913
"322","perm_388_Summary.of.stats_Random.Group.Allocation.csv",24,4.10287526395294e-05
"323","perm_389_Summary.of.stats_Random.Group.Allocation.csv",21,0.00290835574781988
